,ID,SeleccionID,StatusConfirmacion,Nivel,Reto,Seleccion,TipoDeUsuario
alcqdT8-3Lz3d40zAAAB,,,,,,False,user
AcUg2SoCPu_sHlHsAAAD,,,,,,False,user
It1nh8WpGdLiV70KAAAB,,,,,,False,user
pdryIO7LI4WNJZjpAAAD,,,,,,False,user
Yf4gRgsB-xqY6KQ_AAAB,,,,,,False,user
e8kW-1__q1A3K_ZlAAAD,,,,,,False,user
CYXDlbUCafaz2bBnAAAF,,,,,,False,user
r4bss7d5Z4gsMNZ3AAAB,,,,,,False,user
iJnGSKoz6MDc9O11AAAD,,,,,,False,user
1UMzzXmZ3wUAFma3AAAF,,,,,,False,user
wdz-8yY3nFplP7PdAAAB,,,,,,False,user
zz4ErEjgmJOCLNQ4AAAD,,,,,,False,user
TIvNBpfgIm8gA0H1AAAF,,,,,,False,user
1y8t5f9cwApkCnbiAAAB,,,,,,False,user
2qfozZUq15RqMX6rAAAD,,,,,,False,user
7x2AeGdMGeQXrsohAAAF,,,,,,False,user
zE2lbK6EkSxPzwQjAAAB,,,,,,False,user
5HJNAvjSfJ-OU4_NAAAH,,,,,,False,user
t2rwZuQF1JYRuJMMAAAJ,,,,,,False,user
lfgGzkz-_6TWtsORAAAB,,,,,,False,user
U-HIO9sztaRF8AjSAAAD,,,,,,False,user
giXpMIyaUEKZcKscAAAF,,,,,,False,user
VUbkqvJweHh5TI6vAAAD,,,,,,False,user
BayEkZ8Imx-4477MAAAH,,,,,,False,user
n12h4Wil6FHY9dCVAAAJ,,,,,,False,user
V71riDAWH52rKylMAAAB,,,,,,False,user
cIM-k_-Sl5QyZxkBAAAH,,,,,,False,user
pZfYNQJDKHHMOy0pAAAJ,,,,,,False,user
ms2p-NFhWrW-M0nWAAAF,,,,,,False,user
ELkaS7DCo7QtSjSmAAAL,,,,,,False,user
iRmzeRxtjGlNrLVxAAAN,,,,,,False,user
M2ptgnotty826aN7AAAC,,,,,,False,user
c2fDRy95PCfURLd8AAAD,,,,,,False,user
RoNL6TkHCSxS98A_AAAF,,,,,,False,user
5cVibhcRc0_SUsX1AAAB,,,,,,False,user
GS97_8vUdV72LXsVAAAD,,,,,,False,user
qMB7kn1D3q_RLaJXAAAF,,,,,,False,user
u1hmatqVLijnD3-_AAAB,,,,,,False,user
zr9F_b6mGYZ7SU-kAAAD,,,,,,False,user
nwy-XLEQM8ufv39qAAAF,,,,,,False,user
STz3IdFYjay8iQhFAAAD,,,,,,False,user
s7EY0R_RHXcphBVNAAAF,,,,,,False,user
XiK6AYGkGRBswFDrAAAB,,,,,,False,user
wl24DSi9lbOq64DKAAAD,,,,,,False,user
OiHXC6bBDR6VPZIEAAAF,,,,,,False,user
3_js8SErj53nIKvnAAAB,,,,,,False,user
AJydE1jCK7gmhKMiAAAD,,,,,,False,user
l5PdmQj2kdFL-PHrAAAF,,,,,,False,user
8bxkEqvMq9ss4QLvAAAH,,,,,,False,user
1V5X9JbVXCqjTIctAAAJ,,,,,,False,user
ZvRoPCBhSuy7qAhWAAAL,,,,,,False,user
XyGhZj_-mG2qOvaQAAAI,,,,,,False,user
ciaUnuo0KTMi_bhBAAAJ,,,,,,False,user
kiXF5_Ps9pV78H11AAAL,,,,,,False,user
